id,business_name,address,categories,average_rate,review_count,phone,price_range
8,Mrs Tang Cafe,"Hang Tau Tsuen, Ping Shan 屏山坑頭村 Hong Kong",Hong Kong Style Cafe,0,0,2617 2232,1
9,發記腸粉粥品,67 Kin Yip Street 建業街67號 Hong Kong,"Cantonese,Congee,Delis",0,0,2474 2201,1
10,Tokyo Tsukiji,"Shop 102, 1/F, Phase 2, Fortune Kingswood, 12-18 Tin Yan Road 天恩路12-18號置富嘉湖二期1樓102號舖 Hong Kong",Ramen,0,0,2267 9208,0
12,Hakka Hut,"1/F, Kingswood Ginza, 12 Tin Yan Road 天恩路12號嘉湖銀座1/F Hong Kong",Hakka,0,0,2180 7887,2
13,Kurosawa Kitchen,Shek Wu Tong Tsuen 石湖塘村 Hong Kong,"Japanese,Caterers",0,0,,0
14,Hung Fook Tong,"L2-5, 2/F, MTR Lok Ma Chau Station 港鐵落馬洲站2/F, L2-5 Hong Kong",Cantonese,0,0,3404 6558,0
15,New York Cafe & Bar,"Shop 33-34, G/F, Transport Plaza, 2-6 Fung Cheung Road 鳳翔路2-6號交通廣場地下33-34號舖 Hong Kong",American (Traditional),0,0,2478 9638,2
16,Siu Tao Yuen,28 Lau Fau Shan Main Street 流浮山正大街28號 Hong Kong,Cantonese,0,0,2472 1153,0
18,Happy Seafood Restaurant,12 Shan Tung Street 山東街12號 Hong Kong,"Seafood,Cantonese,Dim Sum",0,0,2472 3450,3
19,紅屋仔 芳記,"6 Palm Springs Boulevard, Mai Po 米埔加州大道6號 Hong Kong",Cantonese,0,0,9786 3911,2
20,Cafe de Coral,"Shop G01, G/F, Phase 2, Fortune Kingswood, 12-18 Tin Yan Road 天恩路12-18號置富嘉湖二期地下G01號舖 Hong Kong","Fast Food,Hong Kong Style Cafe",0,0,2617 7203,0
21,Urban United Burger & Bar,"Shop 8-9, G/F, Full Yau Court, 37-51 Yau San Street 又新街37-51號富祐閣地下8-9號舖 Hong Kong","American (Traditional),Burgers,Bars",0,0,3708 8493,2
22,「老地方」肉餅專門店,Ping Shan 屏山蝦尾村 Hong Kong,Hong Kong Style Cafe,0,0,,0
23,Hai Nam Chicken Takeaway Shop,"Shop A150, G/F, Kingswood Richly Plaza, 1 Tin Wu Road 天湖路1號新北江商場地下A150號舖 Hong Kong",Thai,0,0,6936 2963,1
24,寿司の神,"Shop 7, G/F, On Ning Building, 20-30B Ma Tin Road 馬田路20-30B號安寧大廈地下7號鋪 Hong Kong","Sushi Bars,Japanese",0,0,2178 3163,0
25,旺泰泰國菜,"Shop 19B, Hing Fook Building, Fuk Lok Path 褔樂徑幸福樓19B號鋪 Hong Kong",Thai,0,0,2476 9743,2
26,Omerice,119 Kau Yuk Road 元朗教育路119號 Hong Kong,"Japanese,Asian Fusion",0,0,2711 1271,2
27,迎囍宴會廳,"3/F, Long Ping Commercial Complex, 1 Long Ping Road 朗屏路1號朗屏商場3樓 Hong Kong","Desserts,Hong Kong Style Cafe",0,0,,0
28,迎囍宴會廳,"3/F, Long Ping Commercial Complex, 1 Long Ping Road 朗屏路1號朗屏商場3樓 Hong Kong","Desserts,Hong Kong Style Cafe",0,0,,0
30,Ho To Tai Noodle Shop,"G/F, 67 Fau Tsoi Street 阜財街67號地下 Hong Kong",Noodles,0,0,2476 2495,1
31,潮豐潮州牛肉店,"C, G/F, Kam On Building, 2 Kam Fai Path 金輝徑2號金安閣G/F, C Hong Kong",Food Stands,0,0,2443 3088,0
32,Homey Cafe,"Shop 15-16, Manhattan Plaza, 23 Sai Ching Street 西菁街23號富達廣場15-16號舖 Hong Kong",American (Traditional),0,0,2443 3248,0
33,King Ludwig Beerhall,Castle Peak Road (Hung Shui Kiu) 元朗青山公路洪水橋段 Hong Kong,German,0,0,2477 5000,0
34,New Shun Hing Chiushan Salty Food Shop,"Shop 9, G/F, 7-25 Yau San Street 又新街7-25號地下9號舖 Hong Kong","Barbeque,Teochew",0,0,2476 9348,2
35,McDonald’s,"Shop G5-G7, G/F, Grandeur Terrace Shopping Centre, 88 Tin Shui Road 天瑞路88號俊宏軒地下G5-G7號舖 Hong Kong","Fast Food,Burgers",0,0,2811 5481,0
36,Crazy Eats,"Stall Nos 20 & 21, G/F Blk A, Town CTR, Fariview Park 錦繡花園地下A座市中心20-21號 Hong Kong","Dim Sum,Hong Kong Style Cafe,Waffles",0,0,3144 3367,0
37,119 Korea Station,"G/F, Full Shing Building, 9 Sai Ching Street 西菁街9號富盛大廈地下 Hong Kong",Korean,0,0,3565 6911,2
38,Kam Wah Cafe,"G/F, 47 Bute Street 弼街47號地下 Hong Kong","Hong Kong Style Cafe,Bakeries",0,0,2392 6830,1
